sysnum,title
000209482,"[Sonnets. By E. B. B. [i.e. Elizabeth Barrett Browning.] [Purporting to be the first edition of “Sonnets from the Portuguese,” first published in the 1850 edition of “Poems.”]]"
002782859,New Wheels in Old Ruts. A pilgrimage to Canterbury via the ancient pilgrim's way ... With pen and ink sketches by F. W. R. Adams
000034575,Sedbergh School Songs. Written and illustrated by R. St. J. Ainslie
002054014,Geschichte der Stadt Konstanz und ihrer nächsten Umgebung
000369579,Anthony Blake's Experiment. [A novel. By Alice O'Brien.]
000598049,"[Illustrated Official Handbook of the Cape and South Africa. A résumé of the history, conditions, populations, productions, and resources of the several colonies, states, and territories. Edited by John Noble. [With a map.]]"
000209253,Battles and Battlefields in England ... Illustrated by the author. With an introduction by H. D. Traill
001644661,"Kulturgeschichte ... Vierte Auflage. Neu bearbeitet von M. von Brandt [and others], etc"
000034575,Sedbergh School Songs. Written and illustrated by R. St. J. Ainslie
002746680,Essai historique sur Châteauneuf en Brionnais ou Chatellenie Royale sur les bords du Sornin. [With illustrations.]
003121708,"Paris de siècle en siècle. Le cœur de Paris, splendeurs et souvenirs. Texte, dessins et lithographes par A. Robida"
001495840,The Official Guide to the Great Western Railway ... Abridged and popular edition. Illustrated
001820978,The Alhambra ... With an introduction by E. R. Pennell. Illustrated with drawings of the places mentioned by J. Pennell
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc"
002491871,"Personal Recollections and Observations of General Nelson A. Miles, embracing a brief view of the civil war ... and the story of his Indian campaigns ... Copiously illustrated ... by F. Remington, etc"
002558919,"Mercantile Manchester, past and present ... With ... illustrations"
003057425,"Petroleum: a treatise on the geographical distribution and geological occurrence of petroleum and natural gas ... By B. Redwood, assisted by G. T. Holloway, and other contributors ... With maps, etc"
001200964,"Musa Pedestris: three centuries of canting songs and slang rhymes, etc"
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc"
002558919,"Mercantile Manchester, past and present ... With ... illustrations"
000207740,Revenge! etc. [Short stories.]
002090702,Napoléon et la disette de 1812. A propos d'une émeute aux Halles de Caen
003468096,Selbsterlebtes in Ostafrika ... Illustriert von Maler R. Hellgrewe. Mit zwei ... Übersichtskarten
000433665,"Le Grand siècle. Louis XIV. Les arts, les idées, etc. [With plates.]"
003829292,La France aux colonies
001240452,Die Hunnen im schweizerischen Eifischthale und ihre Nachkommen bis auf die heutige Zeit ... Mit vielen ... Illustrationen
003430223,"The Web of an old Weaver, etc"
000145189,[Cousin Geoffrey and I ... With ... illustrations by W. Parkinson.]
000364223,[Black's Guide to the Isle of Man.]
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc"
003057425,"Petroleum: a treatise on the geographical distribution and geological occurrence of petroleum and natural gas ... By B. Redwood, assisted by G. T. Holloway, and other contributors ... With maps, etc"
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc"
001034471,He went out with the Tide. [A novel.]
001820978,The Alhambra ... With an introduction by E. R. Pennell. Illustrated with drawings of the places mentioned by J. Pennell
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc"
003159008,The Metallurgy of Gold ... Second edition
003253482,"Jeanne d'Arc et la Normandie au XVme siècle. Illustrations, etc"
001567835,"The Half Hour Library of Travel, Nature and Science for young readers"
000350706,Anteckningar fran Italien af en svensk diplomat. [With plates.]
001656304,"[The Bravest of the Brave: or, With Peterborough in Spain. ... With ... illustrations, etc.]"
000410925,"[De Paris au Tonkin à travers le Tibet inconnu. Ouvrage contenant une carte ... et cent huit illustrations, etc.]"
000369579,Anthony Blake's Experiment. [A novel. By Alice O'Brien.]
000760332,"History of Concord, New Hampshire, from the original grant in seventeen hundred and twenty-five to the opening of the twentieth century. Prepared under the supervision of the City History Commission. James O. Lyford, editor"
001554950,"Schleswig-Holstein meerumschlungen in Wort und Bild ... Herausgegeben von H. Haas, H. Krumm und F. Stoltenberg, etc"
000403057,"Gazetteer of the Bombay Presidency. [Edited by Sir James M. Campbell. General index, by R. E. Enthoven.]"
001704007,"Genom Sveriges Bygder. Skildringar af vårt land och folk ... Tredje upplagan, genomsedd och tillökad af J. P. Velander. Med 545 illustrationer"
001644661,"Kulturgeschichte ... Vierte Auflage. Neu bearbeitet von M. von Brandt [and others], etc"
002117312,How Dick and Molly saw England ... With illustrations
002415000,"The Struggle of the Nations. Egypt, Syria, and Assyria ... Edited by A. H. Sayce. Translated by M. L. McClure. With map ... and ... illustrations"
003561238,"The Coronation Cruise of the “Midnight Sun” to Russia, Whitsuntide, 1896. A record"
002736641,"West Dene Manor, etc. [A story.]"
000015282,The Growth of the French Nation
003775837,"У Болгаръ и заграницей, 1881-1893 ... Продолженіе очерковъ “Дома и на Войнѣ” ... Изданіе второе"
003159008,The Metallurgy of Gold ... Second edition
003253482,"Jeanne d'Arc et la Normandie au XVme siècle. Illustrations, etc"
002390844,The Novels of Captain Marryat. Edited by R. Brimley Johnson. L.P
