flickrid	enteredtext	from	to	tagid	author	tag	mode
11306869743	pubplace:Paris	1386752400	1389731048	12383156-11306869743-147195654	12403504@N02	pubplaceparis	add
11306869743	seal	1393651378	1394596834	12383156-11306869743-14031	82452447@N00	seal	add
11306872294	mechanical_curator	1386752400	1389704806	12383156-11306872294-147195664	12403504@N02	mechanicalcurator	add
11306872294	medium	1386752400	1389704806	12383156-11306872294-20924	12403504@N02	medium	add
11306872294	vol:0	1386752400	1389704806	12383156-11306872294-21849367	12403504@N02	vol0	add
11306872294	page:31	1386752400	1389704806	12383156-11306872294-2011822	12403504@N02	page31	add
11306872294	sysnum:002816144	1386752400	1389704806	12383156-11306872294-162381923	12403504@N02	sysnum002816144	add
11306872294	bldigital	1386752400	1389704806	12383156-11306872294-137769045	12403504@N02	bldigital	add
11306872294	PENNELL, Joseph and PENNELL (Elizabeth Robins)	1386752400	1389704806	12383156-11306872294-162381933	12403504@N02	pennelljosephandpennellelizabethrobins	add
11306872294	date:1885	1386752400	1389704806	12383156-11306872294-148690275	12403504@N02	date1885	add
11306872294	pubplace:New York	1386752400	1389704806	12383156-11306872294-147620393	12403504@N02	pubplacenewyork	add
11306872294	public_domain	1386752400	1389704806	12383156-11306872294-136904	12403504@N02	publicdomain	add
11306872294	imagesfrombook:002816144	1386752400	1389704806	12383156-11306872294-166574774	12403504@N02	imagesfrombook002816144	add
11306872294	imagesfromvolume:002816144_0	1386752400	1389704806	12383156-11306872294-166574784	12403504@N02	imagesfromvolume0028161440	add
11306866794	mechanical_curator	1386752400	1389704179	12383156-11306866794-147195664	12403504@N02	mechanicalcurator	add
11306866794	imagesfromvolume:002154932_0	1386752400	1389704179	12383156-11306866794-166618413	12403504@N02	imagesfromvolume0021549320	add
11306866794	medium	1386752400	1389704179	12383156-11306866794-20924	12403504@N02	medium	add
11306866794	vol:0	1386752400	1389704179	12383156-11306866794-21849367	12403504@N02	vol0	add
11306866794	sysnum:002154932	1386752400	1389704179	12383156-11306866794-164075934	12403504@N02	sysnum002154932	add
11306866794	imagesfrombook:002154932	1386752400	1389704179	12383156-11306866794-166618403	12403504@N02	imagesfrombook002154932	add
11306866794	bldigital	1386752400	1389704179	12383156-11306866794-137769045	12403504@N02	bldigital	add
11306866794	pubplace:London	1386752400	1389704179	12383156-11306866794-147209253	12403504@N02	pubplacelondon	add
11306866794	LEWIN, Thomas Herbert.	1386752400	1389704179	12383156-11306866794-164075944	12403504@N02	lewinthomasherbert	add
11306866794	date:1885	1386752400	1389704179	12383156-11306866794-148690275	12403504@N02	date1885	add
11306866794	public_domain	1386752400	1389704179	12383156-11306866794-136904	12403504@N02	publicdomain	add
11306866794	page:298	1386752400	1389704179	12383156-11306866794-58039150	12403504@N02	page298	add
11306866794	Chittagong Hill Tracts	1393634329	1394510558	12383156-11306866794-6464269	82452447@N00	chittagonghilltracts	add
11306866794	Bangladesh	1393634329	1394510558	12383156-11306866794-50704	82452447@N00	bangladesh	add
11306871664	mechanical_curator	1386752400	1389747598	12383156-11306871664-147195664	12403504@N02	mechanicalcurator	add
11306871664	imagesfromvolume:001437859_0	1386752400	1389747598	12383156-11306871664-166578336	12403504@N02	imagesfromvolume0014378590	add
11306871664	medium	1386752400	1389747598	12383156-11306871664-20924	12403504@N02	medium	add
11306871664	vol:0	1386752400	1389747598	12383156-11306871664-21849367	12403504@N02	vol0	add
11306871664	sysnum:001437859	1386752400	1389747598	12383156-11306871664-162356305	12403504@N02	sysnum001437859	add
11306871664	bldigital	1386752400	1389747598	12383156-11306871664-137769045	12403504@N02	bldigital	add
11306871664	pubplace:London	1386752400	1389747598	12383156-11306871664-147209253	12403504@N02	pubplacelondon	add
11306871664	page:515	1386752400	1389747598	12383156-11306871664-48284270	12403504@N02	page515	add
11306871664	date:1885	1386752400	1389747598	12383156-11306871664-148690275	12403504@N02	date1885	add
11306871664	public_domain	1386752400	1389747598	12383156-11306871664-136904	12403504@N02	publicdomain	add
11306871664	imagesfrombook:001437859	1386752400	1389747598	12383156-11306871664-166578326	12403504@N02	imagesfrombook001437859	add
11306872116	mechanical_curator	1386752400	1389743970	12383156-11306872116-147195664	12403504@N02	mechanicalcurator	add
11306872116	medium	1386752400	1389743970	12383156-11306872116-20924	12403504@N02	medium	add
11306872116	vol:0	1386752400	1389743970	12383156-11306872116-21849367	12403504@N02	vol0	add
11306872116	KAUFMANN, Richard Writer on France	1386752400	1389743970	12383156-11306872116-162141744	12403504@N02	kaufmannrichardwriteronfrance	add
11306872116	camel	1386752400	1389743970	12383156-11306872116-12677	28197831@N04	camel	add
11306872116	pubplace:Kjøbenhavn	1386752400	1389743970	12383156-11306872116-147681813	12403504@N02	pubplacekjøbenhavn	add
11306872116	bldigital	1386752400	1389743970	12383156-11306872116-137769045	12403504@N02	bldigital	add
11306872116	page:297	1386752400	1389743970	12383156-11306872116-57714775	12403504@N02	page297	add
11306872116	imagesfrombook:001934378	1386752400	1389743970	12383156-11306872116-166569614	12403504@N02	imagesfrombook001934378	add
11306872116	date:1885	1386752400	1389743970	12383156-11306872116-148690275	12403504@N02	date1885	add
11306872116	public_domain	1386752400	1389743970	12383156-11306872116-136904	12403504@N02	publicdomain	add
11306872116	sysnum:001934378	1386752400	1389743970	12383156-11306872116-162356165	12403504@N02	sysnum001934378	add
11306872116	imagesfromvolume:001934378_0	1386752400	1389743970	12383156-11306872116-166569624	12403504@N02	imagesfromvolume0019343780	add
11306873114	mechanical_curator	1386752400	1389722585	12383156-11306873114-147195664	12403504@N02	mechanicalcurator	add
11306873114	imagesfrombook:002733973	1386752400	1389722585	12383156-11306873114-166569534	12403504@N02	imagesfrombook002733973	add
11306873114	ØVERLAND, Ole Andreas.	1386752400	1389722585	12383156-11306873114-162381033	12403504@N02	øverlandoleandreas	add
11306873114	medium	1386752400	1389722585	12383156-11306873114-20924	12403504@N02	medium	add
11306873114	imagesfromvolume:002733973_01	1386752400	1389722585	12383156-11306873114-166569544	12403504@N02	imagesfromvolume00273397301	add
11306873114	pubplace:Kristiania	1386752400	1389722585	12383156-11306873114-148343214	12403504@N02	pubplacekristiania	add
11306873114	bldigital	1386752400	1389722585	12383156-11306873114-137769045	12403504@N02	bldigital	add
11306873114	vol:01	1386752400	1389722585	12383156-11306873114-1140384	12403504@N02	vol01	add
11306873114	date:1885	1386752400	1389722585	12383156-11306873114-148690275	12403504@N02	date1885	add
11306873114	public_domain	1386752400	1389722585	12383156-11306873114-136904	12403504@N02	publicdomain	add
11306873114	page:65	1386752400	1389722585	12383156-11306873114-20907789	12403504@N02	page65	add
11306873114	sysnum:002733973	1386752400	1389722585	12383156-11306873114-162381023	12403504@N02	sysnum002733973	add
11306873114	repurposed with BL FUSE	1397465332	1397727629	12383156-11306873114-213351113	93564563@N06	repurposedwithblfuse	add
11306872413	mechanical_curator	1386752400	1389709955	12383156-11306872413-147195664	12403504@N02	mechanicalcurator	add
11306872413	medium	1386752400	1389709955	12383156-11306872413-20924	12403504@N02	medium	add
11306872413	vol:0	1386752400	1389709955	12383156-11306872413-21849367	12403504@N02	vol0	add
11306872413	sysnum:003162342	1386752400	1389709955	12383156-11306872413-162363966	12403504@N02	sysnum003162342	add
11306872413	pubplace:Leipzig	1386752400	1389709955	12383156-11306872413-147577965	12403504@N02	pubplaceleipzig	add
11306872413	page:311	1386752400	1389709955	12383156-11306872413-160270213	12403504@N02	page311	add
11306872413	bldigital	1386752400	1389709955	12383156-11306872413-137769045	12403504@N02	bldigital	add
11306872413	ROSKOSCHNY, Hermann.	1386752400	1389709955	12383156-11306872413-162363976	12403504@N02	roskoschnyhermann	add
11306872413	imagesfrombook:003162342	1386752400	1389709955	12383156-11306872413-166599446	12403504@N02	imagesfrombook003162342	add
11306872413	date:1885	1386752400	1389709955	12383156-11306872413-148690275	12403504@N02	date1885	add
11306872413	public_domain	1386752400	1389709955	12383156-11306872413-136904	12403504@N02	publicdomain	add
11306872413	imagesfromvolume:003162342_0	1386752400	1389709955	12383156-11306872413-166599456	12403504@N02	imagesfromvolume0031623420	add
11306873265	mechanical_curator	1386752400	1389752653	12383156-11306873265-147195664	12403504@N02	mechanicalcurator	add
11306873265	imagesfromvolume:003343447_0	1386752400	1389752653	12383156-11306873265-166573755	12403504@N02	imagesfromvolume0033434470	add
11306873265	medium	1386752400	1389752653	12383156-11306873265-20924	12403504@N02	medium	add
11306873265	vol:0	1386752400	1389752653	12383156-11306873265-21849367	12403504@N02	vol0	add
11306873265	pubplace:Barcelona	1386752400	1389752653	12383156-11306873265-147659934	12403504@N02	pubplacebarcelona	add
11306873265	bldigital	1386752400	1389752653	12383156-11306873265-137769045	12403504@N02	bldigital	add
11306873265	page:404	1386752400	1389752653	12383156-11306873265-55842602	12403504@N02	page404	add
11306873265	date:1885	1386752400	1389752653	12383156-11306873265-148690275	12403504@N02	date1885	add
11306873265	public_domain	1386752400	1389752653	12383156-11306873265-136904	12403504@N02	publicdomain	add
11306873265	SESTRI, Julián A. de.	1386752400	1389752653	12383156-11306873265-162356084	12403504@N02	sestrijuliánade	add
11306873265	imagesfrombook:003343447	1386752400	1389752653	12383156-11306873265-166573745	12403504@N02	imagesfrombook003343447	add
11306873265	sysnum:003343447	1386752400	1389752653	12383156-11306873265-162356074	12403504@N02	sysnum003343447	add
11306873265	Mequinez	1393286364	1394510546	12383156-11306873265-851054	82452447@N00	mequinez	add
11306873265	Meknes	1393286364	1394510546	12383156-11306873265-157378	82452447@N00	meknes	add
11306873265	Morocco	1393286364	1394510546	12383156-11306873265-12863	82452447@N00	morocco	add
11306873265	North Africa	1393286364	1394510546	12383156-11306873265-4872	82452447@N00	northafrica	add
11306873963	mechanical_curator	1386752400	1389639198	12383156-11306873963-147195664	12403504@N02	mechanicalcurator	add
11306873963	NINCK, C.	1386752400	1389639198	12383156-11306873963-162359375	12403504@N02	ninckc	add
11306873963	vol:0	1386752400	1389639198	12383156-11306873963-21849367	12403504@N02	vol0	add
11306873963	bldigital	1386752400	1389639198	12383156-11306873963-137769045	12403504@N02	bldigital	add
11306873963	pubplace:Hamburg	1386752400	1389639198	12383156-11306873963-147608385	12403504@N02	pubplacehamburg	add
11306873963	page:36	1386752400	1389639198	12383156-11306873963-2044765	12403504@N02	page36	add
11306873963	medium	1386752400	1389639198	12383156-11306873963-20924	12403504@N02	medium	add
11306873963	date:1885	1386752400	1389639198	12383156-11306873963-148690275	12403504@N02	date1885	add
11306873963	public_domain	1386752400	1389639198	12383156-11306873963-136904	12403504@N02	publicdomain	add
11306873963	imagesfrombook:002660292	1386752400	1389639198	12383156-11306873963-166579136	12403504@N02	imagesfrombook002660292	add
11306873963	imagesfromvolume:002660292_0	1386752400	1389639198	12383156-11306873963-166579146	12403504@N02	imagesfromvolume0026602920	add
11306873963	sysnum:002660292	1386752400	1389639198	12383156-11306873963-162359365	12403504@N02	sysnum002660292	add
11306875513	mechanical_curator	1386752400	1389747925	12383156-11306875513-147195664	12403504@N02	mechanicalcurator	add
11306875513	pubplace:Roma	1386752400	1389747925	12383156-11306875513-147594816	12403504@N02	pubplaceroma	add
11306875513	medium	1386752400	1389747925	12383156-11306875513-20924	12403504@N02	medium	add
11306875513	AMEZAGA, Carlo de.	1386752400	1389747925	12383156-11306875513-162355474	12403504@N02	amezagacarlode	add
11306875513	bldigital	1386752400	1389747925	12383156-11306875513-137769045	12403504@N02	bldigital	add
11306875513	imagesfromvolume:000070511_04	1386752400	1389747925	12383156-11306875513-166593833	12403504@N02	imagesfromvolume00007051104	add
11306875513	page:393	1386752400	1389747925	12383156-11306875513-48242158	12403504@N02	page393	add
11306875513	vol:04	1386752400	1389747925	12383156-11306875513-1154281	12403504@N02	vol04	add
11306875513	imagesfrombook:000070511	1386752400	1389747925	12383156-11306875513-166575565	12403504@N02	imagesfrombook000070511	add
11306875513	date:1885	1386752400	1389747925	12383156-11306875513-148690275	12403504@N02	date1885	add
11306875513	public_domain	1386752400	1389747925	12383156-11306875513-136904	12403504@N02	publicdomain	add
11306875513	sysnum:000070511	1386752400	1389747925	12383156-11306875513-162355464	12403504@N02	sysnum000070511	add
11306875246	mechanical_curator	1386752400	1389640406	12383156-11306875246-147195664	12403504@N02	mechanicalcurator	add
11306875246	medium	1386752400	1389640406	12383156-11306875246-20924	12403504@N02	medium	add
11306875246	vol:0	1386752400	1389640406	12383156-11306875246-21849367	12403504@N02	vol0	add
11306875246	sysnum:003162342	1386752400	1389640406	12383156-11306875246-162363966	12403504@N02	sysnum003162342	add
11306875246	pubplace:Leipzig	1386752400	1389640406	12383156-11306875246-147577965	12403504@N02	pubplaceleipzig	add
11306875246	bldigital	1386752400	1389640406	12383156-11306875246-137769045	12403504@N02	bldigital	add
11306875246	ROSKOSCHNY, Hermann.	1386752400	1389640406	12383156-11306875246-162363976	12403504@N02	roskoschnyhermann	add
11306875246	imagesfrombook:003162342	1386752400	1389640406	12383156-11306875246-166599446	12403504@N02	imagesfrombook003162342	add
11306875246	date:1885	1386752400	1389640406	12383156-11306875246-148690275	12403504@N02	date1885	add
11306875246	public_domain	1386752400	1389640406	12383156-11306875246-136904	12403504@N02	publicdomain	add
11306875246	imagesfromvolume:003162342_0	1386752400	1389640406	12383156-11306875246-166599456	12403504@N02	imagesfromvolume0031623420	add
11306875246	page:91	1386752400	1389640406	12383156-11306875246-10018125	12403504@N02	page91	add
11306875694	mechanical_curator	1386752400	1389630970	12383156-11306875694-147195664	12403504@N02	mechanicalcurator	add
11306875694	medium	1386752400	1389630970	12383156-11306875694-20924	12403504@N02	medium	add
11306875694	page:51	1386752400	1389630970	12383156-11306875694-9469318	12403504@N02	page51	add
11306875694	imagesfrombook:000149250	1386752400	1389630970	12383156-11306875694-166588773	12403504@N02	imagesfrombook000149250	add
11306875694	bldigital	1386752400	1389630970	12383156-11306875694-137769045	12403504@N02	bldigital	add
11306875694	imagesfromvolume:000149250_03	1386752400	1389630970	12383156-11306875694-166595365	12403504@N02	imagesfromvolume00014925003	add
11306875694	date:1885	1386752400	1389630970	12383156-11306875694-148690275	12403504@N02	date1885	add
11306875694	vol:03	1386752400	1389630970	12383156-11306875694-1154191	12403504@N02	vol03	add
11306875694	public_domain	1386752400	1389630970	12383156-11306875694-136904	12403504@N02	publicdomain	add
11306875694	sysnum:000149250	1386752400	1389630970	12383156-11306875694-162381443	12403504@N02	sysnum000149250	add
11306875694	pubplace:Budapest	1386752400	1389630970	12383156-11306875694-148230366	12403504@N02	pubplacebudapest	add
11306874236	mechanical_curator	1386752400	1389728221	12383156-11306874236-147195664	12403504@N02	mechanicalcurator	add
11306874236	medium	1386752400	1389728221	12383156-11306874236-20924	12403504@N02	medium	add
11306874236	vol:0	1386752400	1389728221	12383156-11306874236-21849367	12403504@N02	vol0	add
11306874236	page:328	1386752400	1389728221	12383156-11306874236-160276293	12403504@N02	page328	add
11306874236	sysnum:000265547	1386752400	1389728221	12383156-11306874236-162355174	12403504@N02	sysnum000265547	add
11306874236	bldigital	1386752400	1389728221	12383156-11306874236-137769045	12403504@N02	bldigital	add
11306874236	imagesfromvolume:000265547_0	1386752400	1389728221	12383156-11306874236-166592053	12403504@N02	imagesfromvolume0002655470	add
11306874236	date:1885	1386752400	1389728221	12383156-11306874236-148690275	12403504@N02	date1885	add
11306874236	public_domain	1386752400	1389728221	12383156-11306874236-136904	12403504@N02	publicdomain	add
11306874236	pubplace:Milano	1386752400	1389728221	12383156-11306874236-147602773	12403504@N02	pubplacemilano	add
11306874236	Beltrami, Luca.	1386752400	1389728221	12383156-11306874236-162355184	12403504@N02	beltramiluca	add
11306874236	imagesfrombook:000265547	1386752400	1389728221	12383156-11306874236-166592043	12403504@N02	imagesfrombook000265547	add
11306874236	map	1417044944	1417466619	12383156-11306874236-4942	112303218@N08	map	add
11306875775	mechanical_curator	1386752400	1389882414	12383156-11306875775-147195664	12403504@N02	mechanicalcurator	add
11306875775	page:194	1386752400	1389882414	12383156-11306875775-60791485	12403504@N02	page194	add
11306875775	medium	1386752400	1389882414	12383156-11306875775-20924	12403504@N02	medium	add
11306875775	imagesfrombook:000149250	1386752400	1389882414	12383156-11306875775-166588773	12403504@N02	imagesfrombook000149250	add
11306875775	bldigital	1386752400	1389882414	12383156-11306875775-137769045	12403504@N02	bldigital	add
11306875775	imagesfromvolume:000149250_16	1386752400	1389882414	12383156-11306875775-166580505	12403504@N02	imagesfromvolume00014925016	add
11306875775	vol:16	1386752400	1389882414	12383156-11306875775-11790463	12403504@N02	vol16	add
11306875775	date:1885	1386752400	1389882414	12383156-11306875775-148690275	12403504@N02	date1885	add
11306875775	public_domain	1386752400	1389882414	12383156-11306875775-136904	12403504@N02	publicdomain	add
11306875775	sysnum:000149250	1386752400	1389882414	12383156-11306875775-162381443	12403504@N02	sysnum000149250	add
11306875775	pubplace:Budapest	1386752400	1389882414	12383156-11306875775-148230366	12403504@N02	pubplacebudapest	add
11306876546	mechanical_curator	1386752400	1389747576	12383156-11306876546-147195664	12403504@N02	mechanicalcurator	add
11306876546	medium	1386752400	1389747576	12383156-11306876546-20924	12403504@N02	medium	add
11306876546	imagesfromvolume:001637248_02	1386752400	1389747576	12383156-11306876546-166605366	12403504@N02	imagesfromvolume00163724802	add
11306876546	imagesfrombook:001637248	1386752400	1389747576	12383156-11306876546-166581226	12403504@N02	imagesfrombook001637248	add
11306876546	pubplace:Leipzig	1386752400	1389747576	12383156-11306876546-147577965	12403504@N02	pubplaceleipzig	add
11306876546	bldigital	1386752400	1389747576	12383156-11306876546-137769045	12403504@N02	bldigital	add
11306876546	sysnum:001637248	1386752400	1389747576	12383156-11306876546-162363155	12403504@N02	sysnum001637248	add
11306876546	HEICHEN, Paul.	1386752400	1389747576	12383156-11306876546-162363165	12403504@N02	heichenpaul	add
11306876546	date:1885	1386752400	1389747576	12383156-11306876546-148690275	12403504@N02	date1885	add
11306876546	public_domain	1386752400	1389747576	12383156-11306876546-136904	12403504@N02	publicdomain	add
11306876546	page:249	1386752400	1389747576	12383156-11306876546-64057767	12403504@N02	page249	add
11306876546	vol:02	1386752400	1389747576	12383156-11306876546-1153640	12403504@N02	vol02	add
11306876546	South Africa	1393283782	1394510573	12383156-11306876546-1699	82452447@N00	southafrica	add
11306876546	Cape Town	1393283782	1394510573	12383156-11306876546-9163	82452447@N00	capetown	add
